step,mloss,gloss,loss
100.0,0.7625,1.0006,1.7631
200.0,0.7377,0.9721,1.7098
300.0,0.7293,0.8835,1.6128
400.0,0.722,0.7704,1.4924
500.0,0.7296,0.7127,1.4423
600.0,0.723,0.6807,1.4037
700.0,0.7275,0.6399,1.3674
800.0,0.723,0.5899,1.3129
900.0,0.7211,0.5275,1.2486
1000.0,0.7202,0.5132,1.2334
1100.0,0.7192,0.4981,1.2172999999999998
1200.0,0.7219,0.4685,1.1904
1300.0,0.7147,0.4588,1.1735
1400.0,0.7147,0.4602,1.1749
1500.0,0.7135,0.4447,1.1582
1600.0,0.7097,0.4243,1.134
1700.0,0.7186,0.4098,1.1284
1800.0,0.7163,0.4048,1.1211
1900.0,0.7149,0.4005,1.1154
2000.0,0.7106,0.3972,1.1078000000000001
2100.0,0.7104,0.3939,1.1043
2200.0,0.7029,0.3902,1.0931
2300.0,0.707,0.39,1.097
2400.0,0.7012,0.388,1.0892
2500.0,0.7104,0.3903,1.1007
2600.0,0.7082,0.3861,1.0943
2700.0,0.707,0.3847,1.0917
2800.0,0.7093,0.3855,1.0948
2900.0,0.7002,0.3848,1.085
3000.0,0.7063,0.3824,1.0887
3100.0,0.7079,0.3816,1.0895
3200.0,0.6973,0.38,1.0773000000000001
3300.0,0.7041,0.3819,1.0859999999999999
3400.0,0.7038,0.3801,1.0838999999999999
3500.0,0.6986,0.3795,1.0781
3600.0,0.707,0.3834,1.0904
3700.0,0.705,0.3813,1.0863
3800.0,0.6995,0.3802,1.0796999999999999
3900.0,0.6992,0.3796,1.0788
4000.0,0.6977,0.3799,1.0776
4100.0,0.7012,0.3779,1.0791
4200.0,0.697,0.3801,1.0771
4300.0,0.7019,0.3791,1.081
4400.0,0.6977,0.377,1.0747
4500.0,0.6948,0.3808,1.0756000000000001
4600.0,0.6899,0.3769,1.0668
4700.0,0.6928,0.3777,1.0705
4800.0,0.6914,0.3778,1.0692
4900.0,0.6926,0.3779,1.0705
5000.0,0.6925,0.3756,1.0681
5100.0,0.6899,0.376,1.0659
5200.0,0.6851,0.3763,1.0614000000000001
5300.0,0.6931,0.3754,1.0685
5400.0,0.6893,0.3747,1.064
5500.0,0.6898,0.3761,1.0659
5600.0,0.6899,0.376,1.0659
5700.0,0.6847,0.3752,1.0598999999999998
5800.0,0.6839,0.3777,1.0615999999999999
5900.0,0.6866,0.3766,1.0632
6000.0,0.6885,0.378,1.0665
6100.0,0.685,0.3755,1.0605
6200.0,0.6839,0.3755,1.0594
6300.0,0.6808,0.3756,1.0564
6400.0,0.6757,0.3738,1.0495
6500.0,0.6809,0.3751,1.056
6600.0,0.6827,0.3768,1.0594999999999999
6700.0,0.6785,0.3743,1.0528
6800.0,0.6814,0.3755,1.0569
6900.0,0.6811,0.3748,1.0559
7000.0,0.679,0.3737,1.0527
7100.0,0.6704,0.3743,1.0447
7200.0,0.6813,0.3758,1.0571000000000002
7300.0,0.6784,0.374,1.0524
7400.0,0.6787,0.376,1.0547
7500.0,0.6712,0.3748,1.046
7600.0,0.6826,0.3746,1.0572
7700.0,0.677,0.3758,1.0528
7800.0,0.6684,0.3741,1.0425
7900.0,0.6739,0.375,1.0489000000000002
8000.0,0.6677,0.3724,1.0401
8100.0,0.6716,0.3743,1.0459
8200.0,0.6654,0.3754,1.0408
8300.0,0.6688,0.3735,1.0423
8400.0,0.6686,0.3745,1.0431
8500.0,0.6719,0.3739,1.0458
8600.0,0.6663,0.3717,1.038
8700.0,0.6686,0.3718,1.0404
8800.0,0.6704,0.375,1.0453999999999999
8900.0,0.6691,0.3741,1.0432000000000001
9000.0,0.6656,0.3714,1.037
9100.0,0.6666,0.3729,1.0394999999999999
9200.0,0.6626,0.3727,1.0352999999999999
9300.0,0.6598,0.3712,1.0310000000000001
9400.0,0.6637,0.3759,1.0396
9500.0,0.6604,0.372,1.0324
9600.0,0.655,0.3722,1.0272000000000001
9700.0,0.6558,0.3721,1.0279
9800.0,0.6578,0.3731,1.0309
9900.0,0.6645,0.3736,1.0381
10000.0,0.6648,0.3725,1.0372999999999999
10100.0,0.6588,0.373,1.0318
10200.0,0.6616,0.3729,1.0345
10300.0,0.6569,0.3703,1.0272000000000001
10400.0,0.6573,0.3717,1.029
10500.0,0.6629,0.3733,1.0362
10600.0,0.6607,0.3708,1.0314999999999999
10700.0,0.6548,0.3709,1.0257
10800.0,0.6532,0.3714,1.0246
10900.0,0.6552,0.3704,1.0256
11000.0,0.6606,0.3705,1.0311
11100.0,0.6577,0.3711,1.0288
11200.0,0.6498,0.3693,1.0191000000000001
11300.0,0.6515,0.3712,1.0227
11400.0,0.6517,0.3716,1.0232999999999999
11500.0,0.6456,0.3703,1.0159
11600.0,0.6483,0.3697,1.018
11700.0,0.6487,0.3732,1.0219
11800.0,0.6498,0.3706,1.0204
11900.0,0.6507,0.3711,1.0217999999999998
12000.0,0.6465,0.3701,1.0166
12100.0,0.642,0.3685,1.0105
12200.0,0.6445,0.3679,1.0124
12300.0,0.65,0.3714,1.0214
12400.0,0.6402,0.3695,1.0097
12500.0,0.646,0.3713,1.0173
12600.0,0.6444,0.3684,1.0128
12700.0,0.6389,0.3685,1.0074
12800.0,0.644,0.3687,1.0127000000000002
12900.0,0.6492,0.3719,1.0211000000000001
13000.0,0.6416,0.3693,1.0109
13100.0,0.6407,0.3674,1.0081
13200.0,0.6419,0.3688,1.0107
13300.0,0.6448,0.3699,1.0147
13400.0,0.6335,0.3677,1.0011999999999999
13500.0,0.6375,0.3668,1.0043
13600.0,0.6418,0.3714,1.0132
13700.0,0.6425,0.3681,1.0106
13800.0,0.6379,0.3678,1.0057
13900.0,0.6411,0.3689,1.01
14000.0,0.6377,0.3658,1.0035
14100.0,0.6342,0.3677,1.0019
14200.0,0.6341,0.3671,1.0011999999999999
14300.0,0.635,0.3663,1.0013
14400.0,0.6344,0.3654,0.9998
14500.0,0.635,0.3671,1.0021
14600.0,0.6346,0.3662,1.0008000000000001
14700.0,0.6318,0.3677,0.9995
14800.0,0.6318,0.3654,0.9972000000000001
14900.0,0.6317,0.3673,0.9990000000000001
15000.0,0.628,0.3654,0.9934000000000001
15100.0,0.6307,0.3666,0.9973000000000001
15200.0,0.6328,0.3649,0.9977
15300.0,0.6297,0.369,0.9987
15400.0,0.6315,0.3653,0.9967999999999999
15500.0,0.6294,0.3637,0.9931
15600.0,0.626,0.3642,0.9902
15700.0,0.6247,0.3639,0.9886
15800.0,0.6314,0.3647,0.9961
15900.0,0.6223,0.3647,0.987
16000.0,0.6247,0.3664,0.9911000000000001
16100.0,0.626,0.3645,0.9904999999999999
16200.0,0.6182,0.3643,0.9824999999999999
16300.0,0.6263,0.3638,0.9901
16400.0,0.6238,0.364,0.9878
16500.0,0.6292,0.365,0.9942
16600.0,0.6188,0.3617,0.9805
16700.0,0.6226,0.3642,0.9868000000000001
16800.0,0.6162,0.3628,0.979
16900.0,0.6193,0.3632,0.9824999999999999
17000.0,0.622,0.3647,0.9867
17100.0,0.6243,0.3615,0.9858
17200.0,0.6189,0.3652,0.9841
17300.0,0.6175,0.362,0.9795
17400.0,0.6189,0.3603,0.9792000000000001
17500.0,0.6186,0.363,0.9816
17600.0,0.6185,0.3627,0.9812000000000001
17700.0,0.615,0.3614,0.9763999999999999
17800.0,0.6186,0.3629,0.9815
17900.0,0.6129,0.3613,0.9742
18000.0,0.6121,0.3611,0.9732
18100.0,0.6145,0.36,0.9745
18200.0,0.6166,0.3607,0.9773000000000001
18300.0,0.6104,0.3606,0.9710000000000001
18400.0,0.6165,0.3635,0.98
18500.0,0.6173,0.3602,0.9775
18600.0,0.6079,0.3594,0.9673
18700.0,0.6076,0.3591,0.9667
18800.0,0.6083,0.3608,0.9691
18900.0,0.6137,0.3603,0.974
19000.0,0.6074,0.3585,0.9659
19100.0,0.6088,0.36,0.9688
19200.0,0.6143,0.3612,0.9755
19300.0,0.6035,0.3601,0.9636
19400.0,0.6116,0.3584,0.97
19500.0,0.6124,0.3602,0.9726000000000001
19600.0,0.6084,0.3572,0.9656
19700.0,0.6054,0.3585,0.9639
19800.0,0.6046,0.3594,0.964
19900.0,0.6091,0.3585,0.9676
20000.0,0.6048,0.359,0.9638
